START_ID,END_ID,volume,year
c24d6c1bed6af6b99e506f2ba83e9552481b5615,43d8ff46-e680-4c40-84dc-a8f86d3f559b,1,2015
57e7a7323f58a35f5e2cc33bf17d4ac9cdcafdd4,705a5f2b-aaf1-41fb-bc28-be78040b4587,4,2008
fa60b6806050255a77699bd0f9f5d824884c5162,da96c220-cd39-4894-bae6-d2d77c8e7aa9,37,2008
fd495d6cf7c3169bc58550fdf32be6e16e2800f8,41dbb273-8d18-4a45-8154-852882a37b34,5,2004
a41d8c4eddf4054ef080c7edec21b39c492892ee,458166b3-de17-4bf3-bbbb-e53782de2f0f,39,2021
1ff4bd599b950218f0517fb76ee49ad0599e1c53,a7d48414-e40b-4441-829e-d9a349bea6fb,430 15,2017
70b4af707b1bf5eebacaadcf994335feb3d7a43a,027ffd21-ebb0-4af8-baf5-911124292fd0,1,2020
17190dc2a51b4f0edd05753a4cea2a2540059933,458166b3-de17-4bf3-bbbb-e53782de2f0f,38,2020
bc54798db4962ec9ba6a5e87be3dce156454cfef,1236e136-01b7-42d5-8c4a-593153a3ab37,6,2021
c67f7d629c4500bd47056b03bdfaf2df2f3c9346,da96c220-cd39-4894-bae6-d2d77c8e7aa9,37,2009
